date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:39:13	6481/6481	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2011%20Oct%202025%2015:09:14%20GMT	https://montage-memories-by-saran.webflow.io/robots.txt		(from )
20:39:13	117759/117759	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Oct%202025%2015:02:53%20GMT	https://montage-memories-by-saran.webflow.io/	C:/My%20Web%20Sites/mm/montage-memories-by-saran.webflow.io/index.html	(from )
20:39:15	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/mm/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://montage-memories-by-saran.webflow.io/)
20:39:15	93645/93645	---MCZ	200	added ('OK')	text/css	etag:W/%225ef7c486d6368a2c5eedafbcbe467170%22	https://cdn.prod.website-files.com/686114c23251c72b0fc07256/css/montage-memories-by-saran.webflow.shared.5ef7c486d.min.css	C:/My%20Web%20Sites/mm/cdn.prod.website-files.com/686114c23251c72b0fc07256/css/montage-memories-by-saran.webflow.shared.5ef7c486d.min.css	(from https://montage-memories-by-saran.webflow.io/)
20:39:15	1287/1287	---M--	200	added ('OK')	image/png	etag:%2248b301c367cf324f226ecb05df7ed5cb%22	https://cdn.prod.website-files.com/686114c23251c72b0fc07256/68ea717fff39988d378af2c7_ths-32.png	C:/My%20Web%20Sites/mm/cdn.prod.website-files.com/686114c23251c72b0fc07256/68ea717fff39988d378af2c7_ths-32.png	(from https://montage-memories-by-saran.webflow.io/)
20:39:15	16718/16718	---M--	200	added ('OK')	image/png	etag:%22cfd64908da9341bffcde27e27c50d454%22	https://cdn.prod.website-files.com/686114c23251c72b0fc07256/68ea71877c6d87d1a6e1b0c5_ths-256.png	C:/My%20Web%20Sites/mm/cdn.prod.website-files.com/686114c23251c72b0fc07256/68ea71877c6d87d1a6e1b0c5_ths-256.png	(from https://montage-memories-by-saran.webflow.io/)
20:39:16	3972/3972	---M-Z	200	added ('OK')	application/javascript	etag:%22649c91f5-77b%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/ScrollToPlugin.min.js	C:/My%20Web%20Sites/mm/cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/ScrollToPlugin.min.js	(from https://montage-memories-by-saran.webflow.io/)
20:39:16	43380/43380	---M-Z	200	added ('OK')	application/javascript	etag:%2265a9b559-4536%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js	C:/My%20Web%20Sites/mm/cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js	(from https://montage-memories-by-saran.webflow.io/)
20:39:16	71520/71520	---M-Z	200	added ('OK')	application/javascript	etag:%22649c91f5-6d5e%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/gsap.min.js	C:/My%20Web%20Sites/mm/cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/gsap.min.js	(from https://montage-memories-by-saran.webflow.io/)
20:39:17	50/50	---M--	302	error ('Found')	text/plain	date:Sat,%2011%20Oct%202025%2015:09:18%20GMT	https://unpkg.com/swiper/swiper-bundle.min.js	C:/My%20Web%20Sites/mm/unpkg.com/swiper/swiper-bundle.min.7.delayed	(from https://montage-memories-by-saran.webflow.io/)
20:39:17	154178/154178	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2018%20Sep%202025%2016:03:27%20GMT	https://unpkg.com/swiper@12.0.2/swiper-bundle.min.js	C:/My%20Web%20Sites/mm/unpkg.com/swiper@12.0.2/swiper-bundle.min.js	(from https://montage-memories-by-saran.webflow.io/)
20:39:17	12719/12719	---MCZ	200	added ('OK')	application/javascript	etag:W/%2231af-0j/CZInGJ+zT4ZU29sro9JLyIgA%22	https://cdn.jsdelivr.net/npm/@studio-freight/lenis@latest/bundled/lenis.min.js	C:/My%20Web%20Sites/mm/cdn.jsdelivr.net/npm/@studio-freight/lenis@latest/bundled/lenis.min.js	(from https://montage-memories-by-saran.webflow.io/)
20:39:18	313425/313425	---M--	200	added ('OK')	image/png	etag:%22063f3fcf485caed20d824a69cda69c5b%22	https://cdn.prod.website-files.com/686114c23251c72b0fc07256/68ea473dbde85d6ffd81fd2d_THE%20HAPPENING%20STORY%20BLACK.png	C:/My%20Web%20Sites/mm/cdn.prod.website-files.com/686114c23251c72b0fc07256/68ea473dbde85d6ffd81fd2d_THE%20HAPPENING%20STORY%20BLACK.png	(from https://montage-memories-by-saran.webflow.io/)
20:39:18	291506/291506	---M--	200	added ('OK')	image/png	etag:%22797592e385b1c4a3ec6a35c96212d376%22	https://cdn.prod.website-files.com/686114c23251c72b0fc07256/68ea473c079b8a7405804ff9_THE%20HAPPENING%20STORY%20WHITE.png	C:/My%20Web%20Sites/mm/cdn.prod.website-files.com/686114c23251c72b0fc07256/68ea473c079b8a7405804ff9_THE%20HAPPENING%20STORY%20WHITE.png	(from https://montage-memories-by-saran.webflow.io/)
20:39:18	6481/6481	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2011%20Oct%202025%2015:09:19%20GMT	https://montage-memories-by-saran.webflow.io/about	C:/My%20Web%20Sites/mm/montage-memories-by-saran.webflow.io/about	(from https://montage-memories-by-saran.webflow.io/)
20:39:19	6481/6481	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2011%20Oct%202025%2015:09:20%20GMT	https://montage-memories-by-saran.webflow.io/work	C:/My%20Web%20Sites/mm/montage-memories-by-saran.webflow.io/work	(from https://montage-memories-by-saran.webflow.io/)
20:39:19	6481/6481	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2011%20Oct%202025%2015:09:20%20GMT	https://montage-memories-by-saran.webflow.io/video-gallery	C:/My%20Web%20Sites/mm/montage-memories-by-saran.webflow.io/video-gallery	(from https://montage-memories-by-saran.webflow.io/)
20:39:21	6481/6481	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2011%20Oct%202025%2015:09:22%20GMT	https://montage-memories-by-saran.webflow.io/octane-space	C:/My%20Web%20Sites/mm/montage-memories-by-saran.webflow.io/octane-space	(from https://montage-memories-by-saran.webflow.io/)
20:39:21	6481/6481	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2011%20Oct%202025%2015:09:22%20GMT	https://montage-memories-by-saran.webflow.io/end-to-end	C:/My%20Web%20Sites/mm/montage-memories-by-saran.webflow.io/end-to-end	(from https://montage-memories-by-saran.webflow.io/)
20:39:22	6481/6481	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2011%20Oct%202025%2015:09:23%20GMT	https://montage-memories-by-saran.webflow.io/contact	C:/My%20Web%20Sites/mm/montage-memories-by-saran.webflow.io/contact	(from https://montage-memories-by-saran.webflow.io/)
20:39:22	3703/3703	---M--	200	added ('OK')	image/png	etag:%226a570a325342edff4e70dd1b190f73c2%22	https://cdn.prod.website-files.com/686114c23251c72b0fc07256/6863d030b5a4c224a4c2753a_image%201.png	C:/My%20Web%20Sites/mm/cdn.prod.website-files.com/686114c23251c72b0fc07256/6863d030b5a4c224a4c2753a_image%201.png	(from https://montage-memories-by-saran.webflow.io/)
20:39:22	2055/2055	---M--	200	added ('OK')	image/png	etag:%22e4f9276ecd0085264c4ef1557cbcb62c%22	https://cdn.prod.website-files.com/686114c23251c72b0fc07256/6863d02fbe7a6c9f9c9d8caf_image%203.png	C:/My%20Web%20Sites/mm/cdn.prod.website-files.com/686114c23251c72b0fc07256/6863d02fbe7a6c9f9c9d8caf_image%203.png	(from https://montage-memories-by-saran.webflow.io/)
